OP_absence,OP_exist,OP_rhythem,S_absence,S_exist,S_rhythem,pattern_diff,pattern_same
Actinomyces.wuliandei_P07,Actinomyces.sp..oral.taxon.897_P27,Cardiobacterium.hominis_P08,Bacteroides.heparinolyticus_P05,Actinomyces.sp..oral.taxon.897_P16,Actinomyces.weissii_P25,Streptococcus.sp..VT.162_P13,Streptococcus.sp..oral.taxon.064_P08
Actinomyces.wuliandei_P08,Actinomyces.sp..ZJ34_P03,Cardiobacterium.hominis_P13,Bacteroides.heparinolyticus_P06,Actinomyces.sp..oral.taxon.897_P17,Actinomyces.wuliandei_P08,Gemella.haemolysans_P22,Streptococcus.sp..oral.taxon.064_P26
Actinomyces.wuliandei_P11,Actinomyces.sp..ZJ34_P05,Cardiobacterium.hominis_P14,Bacteroides.heparinolyticus_P08,Actinomyces.sp..oral.taxon.897_P18,Actinomyces.wuliandei_P11,Streptococcus.oralis_P22,Streptococcus.sp..VT.162_P19
Actinomyces.wuliandei_P13,Actinomyces.sp..ZJ34_P07,Cardiobacterium.hominis_P17,Bacteroides.heparinolyticus_P09,Actinomyces.sp..oral.taxon.897_P19,Actinomyces.wuliandei_P13,Streptococcus.sp..1643_P22,Streptococcus.sp..VT.162_P23
Actinomyces.wuliandei_P14,Actinomyces.sp..ZJ34_P08,Cardiobacterium.hominis_P19,Bacteroides.heparinolyticus_P11,Actinomyces.sp..oral.taxon.897_P20,Actinomyces.wuliandei_P15,Streptococcus.sp..NPS.308_P22,Gemella.haemolysans_P20
Actinomyces.wuliandei_P15,Actinomyces.sp..ZJ34_P09,Cardiobacterium.hominis_P20,Bacteroides.heparinolyticus_P13,Actinomyces.sp..oral.taxon.897_P21,Actinomyces.wuliandei_P16,Streptococcus.sp..oral.taxon.064_P22,
Actinomyces.wuliandei_P16,Actinomyces.sp..ZJ34_P11,Cardiobacterium.hominis_P21,Bacteroides.heparinolyticus_P14,Actinomyces.sp..oral.taxon.897_P22,Actinomyces.wuliandei_P19,Streptococcus.sp..VT.162_P22,
Actinomyces.wuliandei_P17,Actinomyces.sp..ZJ34_P13,Cardiobacterium.hominis_P22,Bacteroides.heparinolyticus_P15,Actinomyces.sp..oral.taxon.897_P23,Actinomyces.wuliandei_P24,Gemella.haemolysans_P05,
Actinomyces.wuliandei_P18,Actinomyces.sp..ZJ34_P14,Cardiobacterium.hominis_P23,Bacteroides.heparinolyticus_P16,Actinomyces.sp..oral.taxon.897_P24,Actinomyces.wuliandei_P25,Haemophilus.influenzae_P14,
Actinomyces.wuliandei_P20,Actinomyces.sp..ZJ34_P15,Cardiobacterium.hominis_P24,Bacteroides.heparinolyticus_P17,Actinomyces.sp..oral.taxon.897_P25,Aggregatibacter.actinomycetemcomitans_P03,Gemella.haemolysans_P08,
Actinomyces.wuliandei_P22,Actinomyces.sp..ZJ34_P19,Cardiobacterium.hominis_P26,Bacteroides.heparinolyticus_P18,Actinomyces.sp..oral.taxon.897_P26,Aggregatibacter.actinomycetemcomitans_P07,Gemella.haemolysans_P09,
Actinomyces.wuliandei_P23,Actinomyces.sp..ZJ34_P21,Caudovirales.sp._P06,Bacteroides.heparinolyticus_P19,Actinomyces.sp..oral.taxon.897_P27,Aggregatibacter.actinomycetemcomitans_P08,Gemella.haemolysans_P11,
Actinomyces.wuliandei_P26,Actinomyces.sp..ZJ34_P22,Caudovirales.sp._P08,Bacteroides.heparinolyticus_P20,Actinomyces.sp..ZJ34_P03,Aggregatibacter.actinomycetemcomitans_P19,Gemella.haemolysans_P15,
Actinomyces.wuliandei_P27,Actinomyces.sp..ZJ34_P24,Caudovirales.sp._P09,Bacteroides.heparinolyticus_P21,Actinomyces.sp..ZJ34_P05,Aggregatibacter.actinomycetemcomitans_P26,Gemella.haemolysans_P26,
Aggregatibacter.actinomycetemcomitans_P03,Actinomyces.sp..ZJ34_P25,Caudovirales.sp._P14,Bacteroides.heparinolyticus_P22,Actinomyces.sp..ZJ34_P06,Aggregatibacter.sp..oral.taxon.513_P03,Prevotella.jejuni_P14,
Aggregatibacter.actinomycetemcomitans_P05,Actinomyces.sp..ZJ34_P26,Caudovirales.sp._P19,Bacteroides.heparinolyticus_P23,Actinomyces.sp..ZJ34_P07,Aggregatibacter.sp..oral.taxon.513_P05,Prevotella.sp..oral.taxon.299_P14,
Aggregatibacter.actinomycetemcomitans_P06,Actinomyces.viscosus_P03,Caudovirales.sp._P21,Bacteroides.heparinolyticus_P24,Actinomyces.sp..ZJ34_P08,Aggregatibacter.sp..oral.taxon.513_P07,Streptococcus.oralis_P08,
Aggregatibacter.actinomycetemcomitans_P07,Actinomyces.viscosus_P05,Caudovirales.sp._P23,Bacteroides.heparinolyticus_P25,Actinomyces.sp..ZJ34_P09,Aggregatibacter.sp..oral.taxon.513_P08,Streptococcus.sp..NPS.308_P08,
Aggregatibacter.actinomycetemcomitans_P08,Actinomyces.viscosus_P07,Caudovirales.sp._P24,Bacteroides.heparinolyticus_P26,Actinomyces.sp..ZJ34_P11,Aggregatibacter.sp..oral.taxon.513_P13,Streptococcus.sp..VT.162_P08,
